id,name,sex,old,address,email,phone
81,Alice,F,73,7806 Guava St,alice7@example.com,555-3252
82,Isaac,M,56,7907 Lychee St,isaac7@example.com,555-4363
83,Alice,F,32,8008 Longan St,alice8@example.com,555-5464
84,Alice,F,59,8109 Mango St,alice9@example.com,555-6575
85,Bob,M,37,8201 Guava St,bob6@example.com,555-7686
86,David,F,60,8302 Lychee St,david14@example.com,555-8797
87,Charlie,F,23,8403 Longan St,charlie11@example.com,555-9808
88,Hannah,F,53,8504 Mango St,hannah9@example.com,555-0919
89,Hannah,F,68,8605 Guava St,hannah10@example.com,555-1030
90,Bob,F,24,8706 Lychee St,bob7@example.com,555-2142
91,Alice,F,57,8807 Longan St,alice10@example.com,555-3253
92,Bob,M,20,8908 Mango St,bob8@example.com,555-4364
93,Charlie,M,30,9009 Guava St,charlie12@example.com,555-5465
94,Frank,M,61,9101 Lychee St,frank11@example.com,555-6576
95,Eve,M,50,9202 Longan St,eve4@example.com,555-7687
96,Isaac,M,50,9303 Mango St,isaac8@example.com,555-8798
97,Hannah,M,50,9404 Guava St,hannah11@example.com,555-9809
98,Isaac,F,49,9505 Lychee St,isaac9@example.com,555-0920
99,Eve,M,29,9606 Longan St,eve5@example.com,555-1031
100,Isaac,F,22,9707 Mango St,isaac10@example.com,555-2143
